Random net worth,Base case net worth,Difference
102977949.99999999,102977950.0,-1.4901161193847656e-08
102972813.95999998,102972810.0,3.959999978542328
102978772.64999999,102978770.0,2.6499999910593033
102980790.63,102980790.0,0.6299999952316284
102977953.49000001,102977950.0,3.490000009536743
102974564.57,102974560.0,4.569999992847443
102973433.42999999,102973430.0,3.429999992251396
102970690.94999999,102970690.0,0.949999988079071
102966149.35999998,102966150.0,-0.6400000154972076
102965698.95999995,102965700.0,-1.0400000512599945
102965029.92999996,102965030.0,-0.07000003755092621
102964299.00999996,102964300.0,-0.9900000393390656
102969745.90999998,102969740.0,5.90999998152256
102968453.69999997,102968450.0,3.69999997317791
102974090.67999996,102974080.0,10.679999962449074
102975941.59999998,102975930.0,11.599999979138374
102976053.49,102976040.0,13.489999994635582
102972119.19999999,102972110.0,9.199999988079071
102970668.26999998,102970660.0,8.269999980926514
102967645.6,102967640.0,5.5999999940395355
102974582.62,102974580.0,2.6200000047683716
102972933.51,102972930.0,3.510000005364418
102971327.74000001,102971320.0,7.740000009536743
102974617.27000003,102974610.0,7.270000025629997
102978800.20000002,102978800.0,0.20000001788139343
102978062.52000001,102978060.0,2.520000010728836
102973469.48000003,102973460.0,9.480000033974648
102973379.07000004,102973370.0,9.070000037550926
102972653.48000003,102972640.0,13.480000033974648
102971043.54000002,102971030.0,13.540000021457672
102972826.54000002,102972810.0,16.540000021457672
102965931.89000003,102965930.0,1.8900000303983688
102960632.68000004,102960640.0,-7.31999996304512
102964353.63000004,102964350.0,3.630000039935112
102965596.26000006,102965590.0,6.260000064969063
102964764.64000006,102964760.0,4.640000060200691
102964815.28000005,102964810.0,5.2800000458955765
102969263.47000004,102969250.0,13.47000004351139
102965280.18000007,102965270.0,10.180000066757202
102968904.92000008,102968890.0,14.920000076293945
102970198.21000008,102970180.0,18.210000082850456
102975178.80000007,102975150.0,28.800000071525574
102974599.46000007,102974570.0,29.460000067949295
102977634.88000007,102977600.0,34.880000069737434
