Random net worth,Base case net worth,Difference
102906140.0,102906140.0,0.0
102905690.04,102905690.0,0.040000006556510925
102911821.09000005,102911830.0,-8.909999951720238
102913210.64000003,102913220.0,-9.359999969601631
102916877.52000004,102916890.0,-12.479999959468842
102919984.10000001,102920000.0,-15.899999991059303
102914485.87,102914490.0,-4.129999995231628
102914664.12,102914670.0,-5.879999995231628
102917885.08,102917900.0,-14.92000000178814
102907121.91999999,102907100.0,21.919999986886978
102909324.8,102909310.0,14.799999997019768
102901200.15,102901150.0,50.150000005960464
102903026.8,102902980.0,46.79999999701977
102902439.58,102902390.0,49.57999999821186
102905988.19999999,102905960.0,28.19999998807907
102905191.69999999,102905160.0,31.69999998807907
102903965.9,102903930.0,35.900000005960464
102901773.46000001,102901730.0,43.46000000834465
102896956.53000002,102896880.0,76.53000001609325
102893170.04000002,102893070.0,100.04000002145767
102884613.90000004,102884450.0,163.9000000357628
102884041.01000004,102883880.0,161.01000003516674
102890112.05000003,102889990.0,122.05000002682209
102892366.62,102892260.0,106.62000000476837
102892737.58000003,102892630.0,107.58000002801418
102892593.27000003,102892490.0,103.27000002563
102890314.31000002,102890200.0,114.31000001728535
102885694.48000002,102885560.0,134.4800000190735
102885745.31,102885610.0,135.3100000023842
102889629.01,102889510.0,119.01000000536442
102886040.9,102885910.0,130.90000000596046
102880208.07,102880030.0,178.06999999284744
102887779.75999999,102887650.0,129.75999999046326
102885043.1,102884900.0,143.09999999403954
102881366.19000001,102881210.0,156.19000001251698
102876730.43,102876550.0,180.43000000715256
102874453.93,102874260.0,193.93000000715256
102872372.7,102872160.0,212.70000000298023
102874692.85000001,102874490.0,202.8500000089407
102878825.17000003,102878650.0,175.17000003159046
102875830.38000004,102875640.0,190.3800000399351
102869008.89000005,102868780.0,228.89000004529953
102859750.98000002,102859460.0,290.9800000190735
102864735.09000003,102864470.0,265.0900000333786
102866340.26000002,102866080.0,260.2600000202656
102866581.75000003,102866320.0,261.7500000298023
102867389.25000004,102867130.0,259.2500000447035
102875147.10000002,102874920.0,227.10000002384186
102877800.18000004,102877590.0,210.18000003695488
102886308.34000003,102886130.0,178.3400000333786
102889334.07000001,102889170.0,164.0700000077486
102888487.58000001,102888320.0,167.58000001311302
102890512.16000001,102890350.0,162.16000001132488
102899063.90000002,102898930.0,133.90000002086163
102898403.11,102898270.0,133.10999999940395
102900604.5,102900470.0,134.5
102896633.97999999,102896490.0,143.97999998927116
102893501.41999999,102893360.0,141.41999998688698
102896586.46999997,102896450.0,136.46999996900558
102893815.04999998,102893670.0,145.0499999821186
102899264.92999998,102899130.0,134.92999997735023
102907459.02999997,102907340.0,119.02999997138977
102905862.96999997,102905740.0,122.96999996900558
102901203.98999996,102901070.0,133.98999996483326
102903839.43999997,102903710.0,129.4399999678135
102899177.11999999,102899040.0,137.1199999898672
102899226.1,102899090.0,136.09999999403954
102903499.96,102903370.0,129.9599999934435
102905823.58,102905700.0,123.57999999821186
102903886.8,102903750.0,136.79999999701977
102903747.26,102903610.0,137.26000000536442
102908700.14000002,102908570.0,130.1400000154972
102901381.32000004,102901240.0,141.32000003755093
102901270.17000005,102901130.0,140.17000004649162
102893033.61000006,102892880.0,153.6100000590086
102888826.87000005,102888670.0,156.87000004947186
102891601.41000004,102891450.0,151.4100000411272
102887736.44000006,102887580.0,156.44000005722046
102884310.22000006,102884150.0,160.22000005841255
102877272.38000007,102877100.0,172.38000006973743
102878418.52000009,102878250.0,168.52000008523464
102882626.08000009,102882460.0,166.08000008761883
102882281.25000009,102882120.0,161.25000008940697
102887584.73000008,102887430.0,154.73000007867813
102889874.70000006,102889720.0,154.70000006258488
102888432.29000008,102888270.0,162.29000008106232
102886859.93000007,102886700.0,159.9300000667572
