qLearning net worth,Base case net worth,Difference
102977950.0,102977950.0,0.0
102972809.91999999,102972810.0,-0.08000001311302185
102978767.2,102978770.0,-2.7999999970197678
102980787.54,102980790.0,-2.459999993443489
102977946.75,102977950.0,-3.25
102974558.1,102974560.0,-1.9000000059604645
102973428.01999997,102973430.0,-1.9800000339746475
102970687.01999997,102970690.0,-2.9800000339746475
102966159.46999995,102966150.0,9.469999954104424
102965710.05999996,102965700.0,10.059999957680702
102965041.71999997,102965030.0,11.719999969005585
102964310.05999999,102964300.0,10.059999987483025
102969742.03999998,102969740.0,2.0399999767541885
102968453.00999998,102968450.0,3.0099999755620956
102974075.24,102974080.0,-4.760000005364418
102975922.90000002,102975930.0,-7.099999979138374
102976035.45000003,102976040.0,-4.549999967217445
102972107.03000003,102972110.0,-2.9699999690055847
102970656.06000003,102970660.0,-3.939999967813492
102967629.82000001,102967640.0,-10.179999992251396
102974573.99000002,102974580.0,-6.009999975562096
102972922.14000002,102972930.0,-7.859999984502792
102971313.5,102971320.0,-6.5
102974602.89,102974610.0,-7.1099999994039536
102978786.74999999,102978800.0,-13.250000014901161
102978049.43,102978060.0,-10.569999992847443
102973452.64,102973460.0,-7.3599999994039536
102973362.87,102973370.0,-7.129999995231628
102972635.56000002,102972640.0,-4.439999982714653
102971031.01000002,102971030.0,1.0100000202655792
102972812.82000001,102972810.0,2.820000007748604
102965962.78,102965930.0,32.78000000119209
102960698.93999998,102960640.0,58.93999998271465
102964390.90999998,102964350.0,40.90999998152256
102965631.57999997,102965590.0,41.57999996840954
102964803.46999995,102964760.0,43.46999995410442
102964845.02999997,102964810.0,35.02999997138977
102969252.25999996,102969250.0,2.2599999606609344
102965297.82999995,102965270.0,27.829999953508377
102968892.98999995,102968890.0,2.9899999499320984
102970169.56999995,102970180.0,-10.430000051856041
102975106.06999993,102975150.0,-43.9300000667572
102974552.03999995,102974570.0,-17.960000053048134
102977550.54999994,102977600.0,-49.45000006258488
102977886.47999996,102977950.0,-63.52000004053116
102980533.51999995,102980620.0,-86.48000004887581
102979398.87999995,102979480.0,-81.12000004947186
102974856.68999995,102974930.0,-73.31000004708767
102976391.44999994,102976460.0,-68.55000005662441
102977813.35999992,102977890.0,-76.64000007510185
102977552.46999992,102977630.0,-77.5300000756979
102976316.94999991,102976380.0,-63.050000086426735
102976785.46999991,102976860.0,-74.53000009059906
102977694.05999991,102977760.0,-65.94000008702278
102979477.22999991,102979550.0,-72.77000008523464
102979109.35999991,102979190.0,-80.64000009000301
102981557.18999991,102981650.0,-92.81000009179115
102980380.6599999,102980470.0,-89.34000009298325
102990262.12999992,102990400.0,-137.87000007927418
102990795.47999991,102990950.0,-154.52000008523464
102989196.22999991,102989350.0,-153.77000008523464
102989102.6299999,102989270.0,-167.37000009417534
102986455.4599999,102986600.0,-144.54000009596348
102984584.9499999,102984720.0,-135.0500001013279
102980435.20999989,102980560.0,-124.79000011086464
102982062.22999988,102982220.0,-157.77000011503696
102980425.48999988,102980570.0,-144.5100001245737
102979704.11999989,102979840.0,-135.88000011444092
102976920.87999986,102977050.0,-129.12000013887882
102974805.91999985,102974930.0,-124.08000014722347
102975180.40999985,102975320.0,-139.5900001525879
102973307.16999985,102973430.0,-122.83000014722347
102976257.75999984,102976400.0,-142.24000015854836
102979239.88999987,102979400.0,-160.1100001335144
102968043.81999984,102968130.0,-86.18000015616417
102969671.29999986,102969770.0,-98.70000013709068
102966993.50999987,102967090.0,-96.49000012874603
102961153.0999999,102961190.0,-36.90000009536743
102963265.15999989,102963320.0,-54.84000010788441
102964659.15999989,102964740.0,-80.8400001078844
102962433.52999988,102962490.0,-56.4700001180172
102966013.0899999,102966100.0,-86.91000010073185
102966555.52999988,102966640.0,-84.4700001180172
102967595.23999989,102967700.0,-104.76000010967255
102965189.87999989,102965270.0,-80.1200001090765
102969462.0899999,102969590.0,-127.91000010073185
102968263.2299999,102968370.0,-106.7700001001358
102967950.14999989,102968060.0,-109.85000011324883
102964562.63999988,102964650.0,-87.36000011861324
102968219.09999989,102968340.0,-120.90000011026859
102964418.15999988,102964510.0,-91.84000012278557
102964034.2299999,102964120.0,-85.7700001001358
102964288.77999991,102964390.0,-101.22000008821487
102967079.56999993,102967200.0,-120.4300000667572
102967564.85999994,102967700.0,-135.1400000602007
102966068.31999992,102966200.0,-131.68000008165836
102965578.24999993,102965690.0,-111.7500000745058
102963973.12999992,102964080.0,-106.87000007927418
102961980.31999993,102962060.0,-79.6800000667572
102960787.26999994,102960850.0,-62.73000006377697
102958861.95999995,102958910.0,-48.040000051259995
102958634.01999994,102958660.0,-25.98000006377697
102958828.98999994,102958880.0,-51.01000006496906
102961997.21999994,102962070.0,-72.78000006079674
102964866.17999993,102964980.0,-113.82000006735325
102962956.54999992,102963040.0,-83.45000007748604
102966181.21999992,102966320.0,-138.7800000756979
102966332.7499999,102966480.0,-147.25000010430813
102969164.45999989,102969330.0,-165.54000011086464
102969313.5499999,102969470.0,-156.45000010728836
102972510.7299999,102972700.0,-189.2700001001358
102970754.7599999,102970920.0,-165.2400000989437
102971450.09999989,102971650.0,-199.9000001102686
102973266.0799999,102973470.0,-203.92000010609627
102971728.99999988,102971910.0,-181.0000001192093
102971623.29999986,102971820.0,-196.70000013709068
102971723.35999988,102971920.0,-196.64000011980534
102968962.52999987,102969120.0,-157.47000013291836
102967912.87999988,102968080.0,-167.12000012397766
102968618.93999988,102968760.0,-141.06000012159348
102967322.04999988,102967480.0,-157.95000012218952
102967956.31999989,102968100.0,-143.68000011146069
102971749.0999999,102971960.0,-210.90000009536743
102969776.0699999,102969980.0,-203.93000009655952
102969178.47999988,102969380.0,-201.52000011503696
102971043.1499999,102971270.0,-226.85000009834766
102970837.45999989,102971070.0,-232.54000011086464
102966363.9199999,102966530.0,-166.08000010252
102965921.4499999,102966070.0,-148.5500001013279
102965749.7699999,102965890.0,-140.2300000935793
102967322.22999991,102967480.0,-157.77000008523464
102964528.37999992,102964650.0,-121.62000007927418
102964685.93999991,102964810.0,-124.06000009179115
102967056.68999991,102967220.0,-163.31000009179115
102966589.1899999,102966740.0,-150.8100001066923
102966893.09999987,102967070.0,-176.90000012516975
102966073.76999988,102966230.0,-156.23000012338161
102965143.95999989,102965270.0,-126.04000011086464
102963164.43999988,102963260.0,-95.56000012159348
102964226.64999989,102964340.0,-113.35000011324883
102962928.69999988,102963010.0,-81.30000011622906
102964336.77999987,102964460.0,-123.22000013291836
102966180.06999986,102966300.0,-119.93000014126301
102966874.25999986,102966980.0,-105.7400001436472
102967193.94999987,102967280.0,-86.05000013113022
102966883.73999988,102966970.0,-86.26000012457371
102963483.75999989,102963520.0,-36.24000011384487
102962731.64999987,102962750.0,-18.350000128149986
102964611.44999985,102964650.0,-38.55000014603138
102967003.11999986,102967090.0,-86.88000014424324
102969306.15999983,102969440.0,-133.84000016748905
102970137.57999983,102970300.0,-162.4200001657009
102968257.30999982,102968380.0,-122.69000017642975
102965982.82999982,102966050.0,-67.17000018060207
102964626.45999981,102964670.0,-43.540000185370445
102965780.6299998,102965830.0,-49.37000019848347
102967320.30999981,102967410.0,-89.69000019133091
102967137.41999981,102967240.0,-102.58000019192696
102967058.87999979,102967120.0,-61.12000021338463
102963153.6999998,102963140.0,13.699999794363976
102962774.89999983,102962740.0,34.89999982714653
102962885.86999986,102962890.0,-4.13000014424324
102965047.30999985,102965090.0,-42.690000146627426
102967180.97999986,102967250.0,-69.02000014483929
102973241.85999987,102973450.0,-208.1400001347065
102971954.32999988,102972140.0,-185.67000012099743
102973105.04999988,102973320.0,-214.95000012218952
102972352.56999989,102972540.0,-187.43000011146069
102974055.42999989,102974270.0,-214.57000011205673
102971797.33999988,102971940.0,-142.660000115633
102976617.12999988,102976840.0,-222.87000012397766
102980439.72999988,102980770.0,-330.27000011503696
102979551.50999989,102979910.0,-358.49000011384487
102982810.96999991,102983250.0,-439.03000009059906
102982551.66999991,102983010.0,-458.3300000876188
102980002.54999991,102980380.0,-377.4500000923872
102979350.52999991,102979710.0,-359.4700000882149
102979769.14999992,102980170.0,-400.8500000834465
102978530.38999993,102978890.0,-359.61000007390976
102976682.65999992,102977010.0,-327.3400000780821
102971332.03999992,102971540.0,-207.96000008285046
102971783.12999994,102972020.0,-236.87000006437302
102970884.96999994,102971050.0,-165.03000006079674
102969578.29999992,102969710.0,-131.70000007748604
102970099.6799999,102970240.0,-140.32000009715557
102973069.2199999,102973300.0,-230.78000010550022
102968746.37999989,102968840.0,-93.6200001090765
102967702.4399999,102967780.0,-77.56000010669231
102967273.2199999,102967370.0,-96.78000010550022
102969912.5699999,102970080.0,-167.43000009655952
102969670.58999988,102969830.0,-159.410000115633
102969348.54999988,102969510.0,-161.45000012218952
102968882.8899999,102969010.0,-127.11000010371208
102966526.0399999,102966550.0,-23.960000097751617
102967444.3699999,102967480.0,-35.63000009953976
102961813.67999989,102961660.0,153.67999988794327
102964058.85999988,102963970.0,88.85999988019466
102964505.68999988,102964460.0,45.689999878406525
102961482.98999986,102961330.0,152.98999986052513
102964387.07999985,102964290.0,97.07999984920025
102963948.93999986,102963890.0,58.93999986350536
102965235.91999985,102965240.0,-4.080000147223473
102964149.39999984,102964160.0,-10.600000157952309
102964935.70999983,102964930.0,5.709999829530716
102964542.46999982,102964470.0,72.46999981999397
102962214.08999985,102962080.0,134.08999985456467
102964613.97999984,102964540.0,73.97999984025955
102964811.99999984,102964770.0,41.99999983608723
102964526.14999984,102964470.0,56.14999984204769
102965024.32999985,102965000.0,24.32999984920025
102965198.70999986,102965200.0,-1.2900001406669617
102964079.88999985,102964050.0,29.889999851584435
102963318.87999985,102963300.0,18.879999846220016
102963905.95999983,102963880.0,25.959999829530716
102965563.89999983,102965600.0,-36.10000017285347
102959422.44999982,102959250.0,172.4499998241663
102962598.19999982,102962510.0,88.1999998241663
102966263.42999983,102966360.0,-96.57000017166138
102964048.01999983,102964030.0,18.0199998319149
102962815.46999983,102962770.0,45.469999834895134
102965479.46999983,102965460.0,19.469999834895134
102967649.09999983,102967670.0,-20.900000169873238
102960947.57999985,102960820.0,127.57999984920025
102961574.88999985,102961410.0,164.88999985158443
102962968.27999985,102962860.0,108.27999985218048
102963647.82999982,102963510.0,137.82999981939793
102960999.92999984,102960780.0,219.92999984323978
102964038.73999983,102963910.0,128.7399998307228
102965040.30999984,102964930.0,110.30999983847141
102963718.84999982,102963570.0,148.8499998152256
102963920.0499998,102963750.0,170.04999980330467
102963113.3699998,102962970.0,143.36999979615211
102962991.37999979,102962830.0,161.37999978661537
102962088.5499998,102961870.0,218.54999980330467
102964354.6099998,102964250.0,104.60999980568886
102962114.44999981,102961910.0,204.44999980926514
102963076.46999982,102962910.0,166.46999981999397
102964880.86999984,102964770.0,110.8699998408556
102970643.44999984,102970730.0,-86.55000016093254
102970311.78999986,102970440.0,-128.2100001424551
102969179.23999985,102969200.0,-20.76000015437603
102969771.85999984,102969890.0,-118.14000016450882
102972465.25999986,102972640.0,-174.7400001436472
102972676.56999983,102972920.0,-243.43000017106533
102974319.39999983,102974610.0,-290.60000017285347
102971245.99999982,102971460.0,-214.00000017881393
102970883.17999981,102971030.0,-146.82000018656254
102970464.3399998,102970530.0,-65.66000020503998
102971848.3499998,102971950.0,-101.65000019967556
102969439.9199998,102969440.0,-0.08000020682811737
