qLearning net worth,Base case net worth,Difference
102977950.0,102977950.0,0.0
102972805.86,102972810.0,-4.1400000005960464
102978767.95000002,102978770.0,-2.0499999821186066
102980785.66000001,102980790.0,-4.3399999886751175
102977944.59,102977950.0,-5.409999996423721
102974553.78,102974560.0,-6.219999998807907
102973423.96,102973430.0,-6.040000006556511
102970684.33999999,102970690.0,-5.6600000113248825
102966154.22,102966150.0,4.219999998807907
102965706.69999997,102965700.0,6.69999997317791
102965036.44999997,102965030.0,6.44999997317791
102964305.92999999,102964300.0,5.929999992251396
102969731.40999995,102969740.0,-8.590000048279762
102968446.85999997,102968450.0,-3.140000030398369
102974072.75999998,102974080.0,-7.240000024437904
102975921.50999998,102975930.0,-8.490000024437904
102976032.31999996,102976040.0,-7.68000003695488
102972109.33999997,102972110.0,-0.6600000262260437
102970659.66999999,102970660.0,-0.33000001311302185
102967639.32999998,102967640.0,-0.6700000166893005
102974569.64999999,102974580.0,-10.350000008940697
102972923.26999998,102972930.0,-6.730000019073486
102971313.16999996,102971320.0,-6.830000042915344
102974600.18999995,102974610.0,-9.81000004708767
102978783.35999995,102978800.0,-16.64000004529953
102978045.52999996,102978060.0,-14.47000004351139
102973454.74999996,102973460.0,-5.250000044703484
102973363.03999996,102973370.0,-6.960000038146973
102972635.89999998,102972640.0,-4.100000023841858
102971030.71999998,102971030.0,0.7199999839067459
102972810.4,102972810.0,0.4000000059604645
102965954.97999999,102965930.0,24.979999989271164
102960686.74,102960640.0,46.73999999463558
102964380.82999998,102964350.0,30.8299999833107
102965617.84999998,102965590.0,27.849999979138374
102964791.27999997,102964760.0,31.27999997138977
102964834.91999997,102964810.0,24.919999971985817
102969242.48999998,102969250.0,-7.510000020265579
102965288.32999997,102965270.0,18.32999996840954
102968882.02999996,102968890.0,-7.970000043511391
102970161.00999996,102970180.0,-18.990000039339066
102975104.35999994,102975150.0,-45.64000006020069
102974543.48999995,102974570.0,-26.5100000500679
102977549.89999993,102977600.0,-50.10000006854534
102977887.67999993,102977950.0,-62.32000006735325
102980536.33999991,102980620.0,-83.66000008583069
102979401.73999992,102979480.0,-78.26000007987022
102974861.55999993,102974930.0,-68.44000007212162
102976394.48999994,102976460.0,-65.51000006496906
102977813.65999992,102977890.0,-76.34000007808208
102977556.04999992,102977630.0,-73.95000007748604
102976315.19999991,102976380.0,-64.80000008642673
102976785.77999991,102976860.0,-74.22000008821487
102977695.23999992,102977760.0,-64.76000007987022
102979479.3999999,102979550.0,-70.60000009834766
102979107.4599999,102979190.0,-82.54000009596348
102981554.8299999,102981650.0,-95.17000010609627
102980378.05999988,102980470.0,-91.9400001168251
102990283.6699999,102990400.0,-116.33000010251999
102990818.3899999,102990950.0,-131.61000010371208
102989217.45999987,102989350.0,-132.5400001257658
102989132.89999987,102989270.0,-137.10000012815
102986473.22999987,102986600.0,-126.77000012993813
102984595.10999985,102984720.0,-124.89000014960766
102980433.13999985,102980560.0,-126.86000014841557
102982069.80999985,102982220.0,-150.19000014662743
102980430.04999985,102980570.0,-139.95000015199184
102979705.55999984,102979840.0,-134.4400001615286
102976929.08999981,102977050.0,-120.91000019013882
102974805.6499998,102974930.0,-124.35000020265579
102975177.9599998,102975320.0,-142.0400002002716
102973306.93999979,102973430.0,-123.06000021100044
102976245.45999978,102976400.0,-154.54000021517277
102979223.9299998,102979400.0,-176.0700002014637
102968052.74999976,102968130.0,-77.25000023841858
102969676.68999979,102969770.0,-93.31000021100044
102967015.64999981,102967090.0,-74.35000018775463
102961190.34999982,102961190.0,0.3499998152256012
102963290.97999984,102963320.0,-29.020000159740448
102964686.03999983,102964740.0,-53.96000017225742
102962465.23999982,102962490.0,-24.760000184178352
102966025.33999982,102966100.0,-74.66000017523766
102966570.65999982,102966640.0,-69.34000018239021
102967600.22999983,102967700.0,-99.77000017464161
102965203.43999985,102965270.0,-66.5600001513958
102969449.66999984,102969590.0,-140.33000016212463
102968250.90999985,102968370.0,-119.09000015258789
102967940.79999983,102968060.0,-119.200000166893
102964565.92999983,102964650.0,-84.07000017166138
102968208.09999982,102968340.0,-131.9000001847744
102964420.37999982,102964510.0,-89.6200001835823
102964041.79999983,102964120.0,-78.200000166893
102964297.21999983,102964390.0,-92.78000016510487
102967072.14999984,102967200.0,-127.85000015795231
102967561.27999985,102967700.0,-138.72000014781952
102966078.99999984,102966200.0,-121.00000016391277
102965587.08999984,102965690.0,-102.9100001603365
102963993.34999983,102964080.0,-86.65000016987324
102962003.96999985,102962060.0,-56.030000150203705
102960824.49999985,102960850.0,-25.500000149011612
102958906.40999986,102958910.0,-3.5900001376867294
102958676.29999986,102958660.0,16.299999862909317
102958876.54999988,102958880.0,-3.450000122189522
102962017.10999987,102962070.0,-52.8900001347065
102964859.02999988,102964980.0,-120.9700001180172
102962971.24999988,102963040.0,-68.75000011920929
102966164.13999988,102966320.0,-155.86000011861324
102966323.73999986,102966480.0,-156.26000013947487
102969136.95999986,102969330.0,-193.04000014066696
102969273.64999986,102969470.0,-196.35000014305115
102972442.77999987,102972700.0,-257.22000013291836
102970702.52999985,102970920.0,-217.47000014781952
102971415.27999985,102971650.0,-234.72000014781952
102973209.14999986,102973470.0,-260.85000014305115
102971678.27999984,102971910.0,-231.72000016272068
102971577.17999984,102971820.0,-242.82000015676022
102971682.58999984,102971920.0,-237.4100001603365
102968936.05999984,102969120.0,-183.9400001615286
102967896.76999985,102968080.0,-183.23000015318394
102968581.07999985,102968760.0,-178.92000015079975
102967297.01999985,102967480.0,-182.98000015318394
102967912.96999985,102968100.0,-187.0300001502037
102971697.76999988,102971960.0,-262.2300001233816
102969737.35999988,102969980.0,-242.64000011980534
102969149.68999986,102969380.0,-230.31000013649464
102971005.59999986,102971270.0,-264.4000001400709
102970797.31999986,102971070.0,-272.680000141263
102966368.71999986,102966530.0,-161.28000013530254
102965904.67999987,102966070.0,-165.3200001269579
102965719.74999987,102965890.0,-170.25000013411045
102967307.06999987,102967480.0,-172.93000012636185
102964522.48999989,102964650.0,-127.51000010967255
102964688.4199999,102964810.0,-121.58000010251999
102967045.3899999,102967220.0,-174.61000010371208
102966573.81999989,102966740.0,-166.18000011146069
102966875.59999987,102967070.0,-194.40000012516975
102966070.88999987,102966230.0,-159.1100001335144
102965135.2299999,102965270.0,-134.7700001001358
102963171.4499999,102963260.0,-88.5500001013279
102964216.4199999,102964340.0,-123.58000010251999
102962923.12999989,102963010.0,-86.8700001090765
102964319.75999986,102964460.0,-140.2400001436472
102966130.96999985,102966300.0,-169.0300001502037
102966815.71999985,102966980.0,-164.2800001502037
102967129.46999988,102967280.0,-150.53000012040138
102966806.8299999,102966970.0,-163.17000010609627
102963449.96999992,102963520.0,-70.0300000756979
102962694.69999991,102962750.0,-55.300000086426735
102964551.3899999,102964650.0,-98.61000010371208
102966927.75999989,102967090.0,-162.24000011384487
102969222.80999987,102969440.0,-217.19000013172626
102970058.14999986,102970300.0,-241.85000014305115
102968181.68999986,102968380.0,-198.31000013649464
102965942.19999985,102966050.0,-107.80000014603138
102964574.68999985,102964670.0,-95.3100001513958
102965695.19999984,102965830.0,-134.80000016093254
102967218.74999985,102967410.0,-191.2500001490116
102967044.56999986,102967240.0,-195.430000141263
102966932.55999987,102967120.0,-187.44000013172626
102963058.77999987,102963140.0,-81.22000013291836
102962656.73999989,102962740.0,-83.26000010967255
102962786.19999991,102962890.0,-103.80000008642673
102964940.36999992,102965090.0,-149.6300000846386
102967016.62999992,102967250.0,-233.37000007927418
