qLearning net worth,Base case net worth,Difference
102906140.0,102906140.0,0.0
102905690.24000001,102905690.0,0.24000000953674316
102911831.66000003,102911830.0,1.6600000262260437
102913219.95000003,102913220.0,-0.049999967217445374
102916886.44000004,102916890.0,-3.559999957680702
102919995.03000005,102920000.0,-4.9699999541044235
102914482.23000005,102914490.0,-7.769999951124191
102914659.94000006,102914670.0,-10.059999942779541
102917889.87000005,102917900.0,-10.129999950528145
102907073.34000005,102907100.0,-26.659999951720238
102909287.44000004,102909310.0,-22.559999957680702
102901125.77000003,102901150.0,-24.229999974370003
102902957.27000001,102902980.0,-22.729999989271164
102902365.37,102902390.0,-24.62999999523163
102905936.26,102905960.0,-23.739999994635582
102905139.75000001,102905160.0,-20.24999998509884
102903908.07,102903930.0,-21.930000007152557
102901710.28000002,102901730.0,-19.719999983906746
102896866.42,102896880.0,-13.57999999821186
102893057.22999999,102893070.0,-12.770000010728836
102884446.91,102884450.0,-3.0900000035762787
102883878.72000001,102883880.0,-1.2799999862909317
102889980.17999999,102889990.0,-9.820000007748604
102892246.93999997,102892260.0,-13.060000032186508
102892614.08999999,102892630.0,-15.910000011324883
102892480.57,102892490.0,-9.430000007152557
102890189.12,102890200.0,-10.879999995231628
102885557.86,102885560.0,-2.1400000005960464
102885606.42,102885610.0,-3.5799999982118607
102889493.51,102889510.0,-16.489999994635582
102885903.45,102885910.0,-6.549999997019768
102880014.96999998,102880030.0,-15.030000016093254
102887643.14999999,102887650.0,-6.850000008940697
102884885.19999999,102884900.0,-14.800000011920929
102881193.01999997,102881210.0,-16.980000033974648
102876526.58999996,102876550.0,-23.410000041127205
102874239.72999996,102874260.0,-20.27000004053116
102872137.50999996,102872160.0,-22.490000039339066
102874463.48999996,102874490.0,-26.51000003516674
102878612.82,102878650.0,-37.18000000715256
102875614.28999999,102875640.0,-25.71000000834465
102868773.31999998,102868780.0,-6.680000022053719
102859482.52,102859460.0,22.519999995827675
102864471.35999998,102864470.0,1.3599999845027924
102866074.02999999,102866080.0,-5.970000013709068
102866312.84999998,102866320.0,-7.150000020861626
102867118.51999998,102867130.0,-11.480000019073486
102874856.20999998,102874920.0,-63.79000002145767
102877505.09999998,102877590.0,-84.90000002086163
102886002.47999999,102886130.0,-127.52000001072884
102889031.82999998,102889170.0,-138.1700000166893
102888188.33999999,102888320.0,-131.66000001132488
102890211.64999998,102890350.0,-138.35000002384186
102898766.21000001,102898930.0,-163.78999999165535
102898104.83,102898270.0,-165.17000000178814
102900312.41,102900470.0,-157.59000000357628
102896334.1,102896490.0,-155.90000000596046
102893196.78999998,102893360.0,-163.2100000232458
102896291.72999997,102896450.0,-158.27000002563
102893510.08999997,102893670.0,-159.91000002622604
102898981.74999997,102899130.0,-148.25000002980232
102907215.60999998,102907340.0,-124.39000001549721
102905610.34999996,102905740.0,-129.6500000357628
102900924.15999997,102901070.0,-145.8400000333786
102903575.94999997,102903710.0,-134.0500000268221
102898881.95999996,102899040.0,-158.04000003635883
102898928.93999995,102899090.0,-161.06000004708767
102903242.83999994,102903370.0,-127.16000005602837
102905594.75999995,102905700.0,-105.24000005424023
102903646.80999996,102903750.0,-103.1900000423193
102903508.26999997,102903610.0,-101.73000003397465
102908513.94999997,102908570.0,-56.05000002682209
102901092.91999997,102901240.0,-147.08000002801418
102900980.55999996,102901130.0,-149.4400000423193
102892629.35999995,102892880.0,-250.64000004529953
102888372.26999995,102888670.0,-297.7300000488758
102891174.57999995,102891450.0,-275.4200000464916
102887268.87999997,102887580.0,-311.1200000345707
102883809.46999995,102884150.0,-340.5300000458956
102876682.12999994,102877100.0,-417.870000064373
102877844.67999993,102878250.0,-405.32000006735325
102882086.33999991,102882460.0,-373.6600000858307
102881709.92999992,102882120.0,-410.0700000822544
102887073.35999992,102887430.0,-356.64000007510185
102889391.07999992,102889720.0,-328.92000007629395
102887938.96999992,102888270.0,-331.0300000756979
102886345.75999992,102886700.0,-354.24000008404255
102885465.50999995,102885830.0,-364.4900000542402
102887242.19999994,102887590.0,-347.8000000566244
102891065.73999995,102891380.0,-314.2600000500679
102895756.77999993,102896000.0,-243.2200000733137
102892842.73999994,102893120.0,-277.26000006496906
102888944.60999992,102889270.0,-325.39000007510185
102886894.59999995,102887250.0,-355.40000005066395
102885783.53999996,102886170.0,-386.460000038147
102880895.86999996,102881330.0,-434.1300000399351
102883964.99999994,102884370.0,-405.00000005960464
102882414.64999993,102882830.0,-415.35000006854534
102879473.14999992,102879900.0,-426.8500000834465
102879018.99999993,102879470.0,-451.0000000745058
102877721.02999993,102878190.0,-468.9700000733137
102875345.83999993,102875840.0,-494.1600000709295
102879686.36999993,102880140.0,-453.63000006973743
102874842.97999993,102875350.0,-507.0200000703335
102876866.62999992,102877360.0,-493.3700000792742
102874933.03999992,102875440.0,-506.96000008285046
102875954.27999993,102876450.0,-495.7200000733137
102880057.64999993,102880540.0,-482.35000006854534
102887302.93999994,102887700.0,-397.06000006198883
102883416.97999993,102883850.0,-433.0200000703335
102886086.14999993,102886500.0,-413.85000006854534
102887137.35999992,102887540.0,-402.64000007510185
102893494.33999994,102893810.0,-315.66000005602837
102902857.03999993,102903030.0,-172.9600000679493
102908648.33999993,102908740.0,-91.66000007092953
102902987.13999993,102903180.0,-192.86000007390976
102904463.12999994,102904640.0,-176.87000006437302
102910880.92999995,102910950.0,-69.07000005245209
102910946.95999996,102911000.0,-53.04000003635883
102918796.72999999,102918700.0,96.72999998927116
102916630.52,102916560.0,70.51999999582767
102912388.78,102912410.0,-21.219999998807907
102908198.0,102908320.0,-122.0
102912466.69000001,102912490.0,-23.309999987483025
102912448.01999998,102912480.0,-31.980000019073486
102919232.22999999,102919100.0,132.22999998927116
102924044.43999998,102923800.0,244.43999998271465
102926718.52999997,102926400.0,318.52999997138977
102922099.80999996,102921900.0,199.8099999576807
102923222.39999996,102922980.0,242.39999996125698
102924727.22999996,102924440.0,287.22999995946884
102925166.06999995,102924850.0,316.06999994814396
102922572.14999995,102922340.0,232.14999994635582
102920571.04999994,102920400.0,171.04999993741512
102921833.82999994,102921640.0,193.82999993860722
102922747.03999993,102922530.0,217.0399999320507
102919346.41999993,102919220.0,126.41999992728233
102919775.78999993,102919640.0,135.7899999320507
102922231.32999992,102922020.0,211.32999992370605
102921043.03999993,102920860.0,183.0399999320507
102917758.55999993,102917690.0,68.55999992787838
102917705.45999993,102917620.0,85.45999993383884
102912920.56999993,102912990.0,-69.4300000667572
102911984.21999992,102912090.0,-105.7800000756979
102922778.26999992,102922550.0,228.26999992132187
102922742.40999994,102922500.0,242.40999993681908
102921051.51999994,102920860.0,191.51999993622303
102918713.57999994,102918600.0,113.57999993860722
102918725.46999994,102918630.0,95.46999993920326
102915439.68999994,102915440.0,-0.31000006198883057
102914945.66999993,102914960.0,-14.330000072717667
102919535.06999993,102919390.0,145.0699999332428
102919152.03999995,102919030.0,122.03999994695187
102916461.90999994,102916420.0,41.90999993681908
102914180.55999994,102914210.0,-29.44000005722046
102906621.42999995,102906930.0,-308.5700000524521
102907682.90999994,102907930.0,-247.09000006318092
102901798.81999995,102902250.0,-451.18000005185604
102907336.37999994,102907620.0,-283.620000064373
102906510.55999993,102906810.0,-299.4400000721216
102905731.1299999,102906050.0,-318.87000009417534
102901291.57999992,102901730.0,-438.42000007629395
102900664.26999992,102901140.0,-475.73000007867813
102905575.33999994,102905890.0,-314.66000005602837
102911716.11999993,102911840.0,-123.88000006973743
102913878.01999992,102913960.0,-81.98000007867813
102915783.57999991,102915790.0,-6.4200000911951065
102916814.75999992,102916810.0,4.759999915957451
102922519.08999991,102922310.0,209.0899999141693
102926758.86999993,102926400.0,358.86999993026257
102923759.81999993,102923500.0,259.8199999332428
102923657.64999993,102923390.0,267.64999993145466
102921432.27999994,102921260.0,172.27999994158745
102923413.69999994,102923180.0,233.6999999433756
102922343.65999995,102922150.0,193.65999995172024
102922123.11999996,102921930.0,193.1199999600649
102915801.05999996,102915870.0,-68.9400000423193
102914670.28999995,102914750.0,-79.71000005304813
102915744.00999995,102915790.0,-45.99000005424023
102916557.27999994,102916610.0,-52.72000005841255
102918366.47999994,102918330.0,36.47999994456768
102922716.88999994,102922510.0,206.8899999409914
102922591.32999995,102922380.0,211.32999995350838
102922590.34999996,102922380.0,210.3499999642372
102925986.57999995,102925620.0,366.5799999535084
102929794.56999995,102929260.0,534.569999948144
102932365.47999993,102931700.0,665.4799999296665
102933794.29999994,102933070.0,724.2999999374151
102932011.34999996,102931370.0,641.3499999642372
