AAPL percent,boston humidity,WEN price,microsoft trend,MSFT price,SHAK price,MSFT volume,TSLA percent,AMZN price,apple trend,MCD price,AMZN percent,MCD volume,AAPL volume,SHAK volume,new york city humidity,WEN percent,NFLX percent,MCD percent,FB price,AAPL price,boston temperature,TSLA price,NFLX price,TSLA volume,AMZN volume,amazon trend,FB volume,los angeles temperature,FB percent,SHAK percent,new york city temperature,los angeles humidity,MSFT percent,facebook trend,WEN volume,minutes,NFLX volume
0.0144,52.0,17.05,5.0,106.03,47.73,3336338.0,0.0083,1649.72,16.0,182.13,0.0126,231682.0,8885328.0,72898.0,65.0,0.0038,0.0161,0.0045,141.95,166.06,33.0,360.92,269.42,1025241.0,688739.0,47.0,3594988.0,60.0,0.033,0.0042,31.0,54.0,0.0115,53.0,191167.0,623,1140436.0
0.0163,52.0,17.05,5.0,105.84,47.73,3359801.0,0.0061,1646.86,16.0,182.16,0.0109,232882.0,8952886.0,72898.0,65.0,0.0038,0.0114,0.0043,141.76,165.74,33.0,360.16,268.16,1037162.0,693792.0,48.0,3619761.0,60.0,0.0316,0.0042,31.0,54.0,0.0097,54.0,196467.0,624,1150780.0
0.0154,52.0,17.05,5.0,105.8,47.67,3412468.0,0.0059,1644.35,16.0,182.24,0.0093,237506.0,8998849.0,74098.0,65.0,0.0038,0.0113,0.0039,141.67,165.87,33.0,360.09,268.14,1041653.0,698398.0,48.0,3648892.0,60.0,0.0309,0.0054,31.0,54.0,0.0093,54.0,198404.0,625,1157571.0
0.0167,52.0,17.03,5.0,105.68,47.67,3438728.0,0.0063,1642.0,16.0,182.31,0.0079,240106.0,9057831.0,74098.0,65.0,0.0047,0.009,0.0036,141.31,165.68,33.0,360.24,267.53,1052182.0,702263.0,48.0,3668532.0,60.0,0.0283,0.0054,31.0,54.0,0.0082,54.0,199304.0,626,1162786.0
0.0173,52.0,17.03,5.0,105.67,47.67,3467148.0,0.0064,1638.16,16.0,182.37,0.0055,243532.0,9090479.0,74098.0,65.0,0.0047,0.0064,0.0032,141.19,165.58,33.0,360.24,266.83,1054153.0,708225.0,48.0,3695982.0,60.0,0.0275,0.0054,31.0,54.0,0.0081,55.0,200104.0,627,1173110.0
0.0188,52.0,17.04,5.0,105.55,47.59,3523004.0,0.0069,1633.0,16.0,182.31,0.0024,245764.0,9139531.0,74498.0,65.0,0.0044,0.0037,0.0036,141.01,165.33,33.0,360.44,266.13,1062898.0,717998.0,48.0,3708933.0,60.0,0.0261,0.0071,31.0,54.0,0.0071,55.0,201804.0,628,1184396.0
0.0186,52.0,17.07,5.0,105.53,47.59,3574436.0,0.0079,1632.47,16.0,182.48,0.0021,247764.0,9215574.0,74498.0,65.0,0.0023,0.0019,0.0026,141.08,165.36,33.0,360.79,265.64,1078534.0,726037.0,48.0,3760559.0,60.0,0.0266,0.0071,31.0,54.0,0.0068,55.0,206947.0,629,1193814.0
0.0178,52.0,17.08,5.0,105.58,47.59,3593016.0,0.0086,1634.42,16.0,182.51,0.0032,253666.0,9262540.0,74498.0,65.0,0.0018,0.0039,0.0025,141.11,165.49,33.0,361.04,266.18,1085950.0,729152.0,47.0,3779050.0,60.0,0.0269,0.0071,31.0,54.0,0.0073,52.0,208130.0,630,1208164.0
0.0169,52.0,17.09,5.0,105.59,47.72,3639047.0,0.0093,1637.68,16.0,182.59,0.0052,254866.0,9335703.0,75698.0,65.0,0.0012,0.0061,0.002,141.11,165.64,33.0,361.31,266.77,1096728.0,734173.0,47.0,3809789.0,60.0,0.0269,0.0044,31.0,54.0,0.0073,52.0,214298.0,631,1214517.0
0.0188,52.0,17.06,5.0,105.42,47.64,3670400.0,0.0091,1633.12,16.0,182.45,0.0024,259164.0,9406428.0,76298.0,65.0,0.0029,0.0032,0.0028,140.82,165.31,33.0,361.24,265.98,1102208.0,735920.0,47.0,3845759.0,60.0,0.0247,0.0061,31.0,54.0,0.0057,52.0,215398.0,632,1222054.0
0.0202,52.0,17.06,5.0,105.38,47.5,3692442.0,0.009,1632.34,16.0,182.42,0.002,260364.0,9449236.0,76498.0,65.0,0.0029,0.0024,0.003,140.64,165.09,33.0,361.2,265.77,1107602.0,737058.0,46.0,3874492.0,58.0,0.0234,0.009,31.0,56.0,0.0053,52.0,216798.0,633,1224501.0
0.0195,52.0,17.07,5.0,105.35,47.42,3721375.0,0.0066,1632.47,16.0,182.38,0.002,262164.0,9495436.0,76898.0,56.0,0.0026,0.0021,0.0032,140.5,165.2,33.0,360.33,265.69,1114352.0,740108.0,46.0,3918793.0,58.0,0.0224,0.0106,35.0,56.0,0.0048,52.0,218909.0,634,1230002.0
0.0189,47.0,17.05,5.0,105.41,47.42,3774913.0,0.0077,1635.61,16.0,182.47,0.004,269564.0,9579133.0,76898.0,56.0,0.0035,0.0055,0.0027,140.49,165.31,35.0,360.72,266.59,1119152.0,746960.0,46.0,3994299.0,58.0,0.0223,0.0106,35.0,56.0,0.0056,52.0,220109.0,635,1236458.0
