AAPL percent,boston humidity,WEN price,microsoft trend,MSFT price,SHAK price,MSFT volume,TSLA percent,AMZN price,apple trend,MCD price,AMZN percent,MCD volume,AAPL volume,SHAK volume,new york city humidity,WEN percent,NFLX percent,MCD percent,FB price,AAPL price,boston temperature,TSLA price,NFLX price,TSLA volume,AMZN volume,amazon trend,FB volume,los angeles temperature,FB percent,SHAK percent,new york city temperature,los angeles humidity,MSFT percent,facebook trend,WEN volume,minutes,NFLX volume
0.0182,57.0,17.01,5.0,110.43,45.84,3108746.0,0.0158,1675.82,16.0,186.62,0.0074,250836.0,3511172.0,33754.0,69.0,0.0012,0.0076,0.0171,145.18,172.17,24.0,372.39,276.98,1061890.0,410324.0,46.0,2009036.0,54.0,0.0047,0.0016,34.0,71.0,0.0124,50.0,115784.0,621,995777.0
0.02,57.0,17.02,5.0,110.42,45.84,3123751.0,0.016,1676.96,16.0,186.49,0.0081,255826.0,3575469.0,33754.0,69.0,0.0006,0.0082,0.0164,145.26,172.48,24.0,372.45,277.13,1071779.0,412137.0,46.0,2016183.0,54.0,0.0052,0.0016,34.0,71.0,0.0122,50.0,117300.0,622,1005068.0
0.0192,57.0,17.01,5.0,110.19,45.84,3154026.0,0.0158,1675.0,16.0,186.5,0.0069,258310.0,3645495.0,33754.0,69.0,0.0012,0.0083,0.0165,145.23,172.34,24.0,372.39,277.16,1073724.0,415527.0,46.0,2022867.0,54.0,0.0051,0.0016,34.0,71.0,0.0101,50.0,118000.0,623,1014131.0
0.018,57.0,17.02,6.0,110.09,45.85,3186453.0,0.0182,1674.42,16.0,186.1,0.0065,270924.0,3699596.0,34454.0,69.0,0.0006,0.0085,0.0143,145.31,172.14,24.0,373.25,277.22,1087069.0,423842.0,45.0,2038897.0,54.0,0.0056,0.0013,34.0,71.0,0.0093,50.0,119700.0,625,1026485.0
0.0183,57.0,17.02,6.0,110.07,45.85,3222125.0,0.0178,1673.39,16.0,185.98,0.0059,282292.0,3771626.0,34454.0,69.0,0.0006,0.0065,0.0136,145.25,172.2,24.0,373.11,276.66,1109547.0,431139.0,45.0,2049629.0,54.0,0.0052,0.0013,34.0,71.0,0.0091,50.0,120100.0,627,1035531.0
0.0184,57.0,17.01,6.0,110.12,45.9,3238563.0,0.0187,1674.39,16.0,186.09,0.0065,284692.0,3836882.0,36834.0,69.0,0.0015,0.0076,0.0142,145.29,172.22,24.0,373.45,276.96,1121356.0,437371.0,46.0,2054779.0,54.0,0.0055,0.0002,34.0,71.0,0.0095,49.0,121008.0,628,1040027.0
0.0182,57.0,17.0,6.0,110.15,46.03,3253071.0,0.0209,1674.52,16.0,186.4,0.0066,288292.0,3878607.0,38434.0,69.0,0.0018,0.0087,0.0159,145.29,172.17,24.0,374.25,277.24,1155250.0,439271.0,46.0,2058597.0,54.0,0.0055,0.0026,34.0,71.0,0.0098,49.0,121508.0,629,1053902.0
0.0163,57.0,17.02,6.0,109.91,45.88,3325607.0,0.0191,1669.72,16.0,186.14,0.0037,292320.0,3987177.0,41634.0,69.0,0.0009,0.0053,0.0145,144.93,171.85,24.0,373.6,276.35,1163898.0,447129.0,46.0,2081663.0,54.0,0.003,0.0007,34.0,71.0,0.0076,49.0,130685.0,629,1065609.0
0.016,57.0,17.02,7.0,109.89,45.94,3358347.0,0.0169,1667.95,16.0,186.14,0.0027,298726.0,4048204.0,45634.0,69.0,0.0009,0.0024,0.0145,144.85,171.8,24.0,372.81,275.55,1176423.0,450554.0,45.0,2097030.0,54.0,0.0024,0.0007,34.0,71.0,0.0074,49.0,133085.0,630,1076617.0
0.0171,57.0,17.02,7.0,109.97,45.94,3369985.0,0.0177,1669.06,16.0,186.14,0.0033,302724.0,4096116.0,45634.0,69.0,0.0006,0.0025,0.0145,144.89,171.98,24.0,373.09,275.56,1184572.0,453679.0,45.0,2103318.0,54.0,0.0027,0.0007,34.0,71.0,0.0082,49.0,140692.0,631,1092718.0
0.0179,57.0,17.01,7.0,109.99,45.94,3384602.0,0.017,1668.93,16.0,186.17,0.0032,304764.0,4140490.0,45634.0,69.0,0.0015,0.0023,0.0147,144.91,172.15,24.0,372.82,275.5,1189178.0,456129.0,45.0,2109018.0,54.0,0.0028,0.0007,34.0,71.0,0.0083,49.0,140892.0,632,1101962.0
0.0179,57.0,16.99,7.0,110.02,45.83,3403317.0,0.0135,1667.34,15.0,186.16,0.0023,306334.0,4179110.0,46234.0,76.0,0.0026,0.0027,0.0146,144.94,172.13,24.0,371.55,275.62,1211280.0,461869.0,46.0,2115913.0,54.0,0.003,0.0018,34.0,69.0,0.0086,50.0,141592.0,633,1112174.0
0.0164,57.0,16.99,7.0,109.87,45.85,3424881.0,0.0124,1663.39,15.0,186.17,0.0001,307584.0,4242085.0,47234.0,76.0,0.0026,0.0002,0.0146,144.77,171.87,24.0,371.16,274.84,1232630.0,474690.0,46.0,2124916.0,54.0,0.0019,0.0013,34.0,69.0,0.0072,50.0,141792.0,634,1128189.0
0.0168,54.0,16.99,7.0,109.87,45.85,3453975.0,0.0137,1664.85,15.0,186.15,0.0008,312214.0,4298155.0,47234.0,76.0,0.0023,0.0023,0.0146,144.63,171.95,28.0,371.62,275.52,1238138.0,482495.0,46.0,2133567.0,54.0,0.0009,0.0013,34.0,69.0,0.0072,50.0,143492.0,635,1135487.0
0.0164,54.0,16.99,7.0,109.85,45.83,3470638.0,0.0158,1666.02,16.0,186.2,0.0015,317014.0,4337108.0,47434.0,76.0,0.0023,0.002,0.0148,144.7,171.88,28.0,372.41,275.43,1244933.0,488315.0,45.0,2149620.0,54.0,0.0014,0.0017,34.0,69.0,0.0071,49.0,143692.0,636,1138062.0
0.017,54.0,17.01,7.0,109.8,45.83,3501369.0,0.0159,1667.01,16.0,186.25,0.0021,320250.0,4373336.0,47434.0,76.0,0.0012,0.0027,0.0151,144.72,171.98,28.0,372.43,275.63,1252941.0,492043.0,45.0,2157199.0,54.0,0.0015,0.0017,34.0,69.0,0.0066,49.0,145792.0,637,1145146.0
0.0152,54.0,17.0,7.0,109.64,45.78,3534247.0,0.0134,1664.62,16.0,186.24,0.0006,325602.0,4427861.0,47634.0,76.0,0.0018,0.0012,0.015,144.61,171.68,28.0,371.5,275.21,1258763.0,495531.0,45.0,2182777.0,54.0,0.0008,0.0028,34.0,69.0,0.0051,49.0,148712.0,638,1149781.0
0.0145,54.0,16.99,7.0,109.6,45.74,3548614.0,0.0136,1661.67,16.0,186.09,0.0011,327802.0,4497606.0,48234.0,76.0,0.0023,0.0031,0.0142,144.45,171.55,28.0,371.59,274.03,1261163.0,504660.0,46.0,2214544.0,54.0,0.0003,0.0037,34.0,69.0,0.0048,48.0,154112.0,639,1160938.0
0.0134,54.0,16.97,7.0,109.55,45.72,3585133.0,0.011,1660.64,16.0,185.94,0.0017,329802.0,4553753.0,51034.0,76.0,0.0035,0.0037,0.0134,144.32,171.37,28.0,370.73,273.87,1278502.0,512004.0,46.0,2254711.0,54.0,0.0012,0.0041,34.0,69.0,0.0043,48.0,156442.0,640,1180332.0
0.0119,54.0,16.97,7.0,109.5,45.64,3622348.0,0.0091,1659.9,16.0,185.87,0.0022,334968.0,4607598.0,52034.0,76.0,0.0035,0.0031,0.013,144.31,171.11,28.0,369.93,274.03,1294943.0,517974.0,46.0,2295628.0,54.0,0.0013,0.0059,34.0,69.0,0.0039,48.0,157842.0,641,1193677.0
0.0128,54.0,17.0,6.0,109.55,45.64,3639536.0,0.0099,1659.06,16.0,185.87,0.0027,337568.0,4672015.0,52034.0,76.0,0.0021,0.0024,0.013,144.28,171.26,28.0,370.22,274.21,1298535.0,527905.0,45.0,2311700.0,54.0,0.0015,0.0059,34.0,69.0,0.0043,48.0,158942.0,642,1200477.0
0.013,54.0,17.0,6.0,109.58,45.64,3653881.0,0.01,1659.5,16.0,185.96,0.0024,340062.0,4697925.0,52034.0,76.0,0.0021,0.0021,0.0135,144.37,171.31,28.0,370.28,274.31,1302478.0,534297.0,45.0,2328870.0,54.0,0.0009,0.0059,34.0,69.0,0.0046,48.0,160042.0,643,1203426.0
