AAPL price,AAPL shares,MSFT price,MSFT shares,AMZN price,AMZN shares,FB price,FB shares,net worth
178.24,100,109.78,100,1661.7,100,136.41,100,209613.0
178.24,100,109.905,100,1661.7,100,136.41,100,209625.5
178.24,100,109.4,100,1670.9594,100,137.64,100,210623.94
178.24,100,109.4,101,1669.46,100,137.52,100,210462.0
178.12,100,109.4,101,1661.7,100,136.41,101,209563.0
178.24,101,109.4,102,1661.7,100,136.41,101,209575.0
